worker,ep,total_ep,scenario,rank,score,win_rate_pct,eps,step,elapsed_s
1,35,100,boss_mode_trio,4,192.6,20,0.06,95047,137.0
1,36,100,pfsp,1,495.5,22,0.059,95353,138.0
1,37,100,boss_mode_trio,3,135.4,22,0.059,95559,139.0
1,38,100,boss_mode_solo,2,58.9,21,0.058,95650,139.0
1,39,100,boss_mode_trio,4,281.1,21,0.058,95963,141.0
1,40,100,pure_rule,3,236.0,20,0.057,96225,143.0
1,41,100,boss_mode_trio,4,57.4,20,0.057,96401,144.0
1,42,100,pfsp,5,72.2,19,0.056,96575,145.0
1,43,100,boss_mode_trio,1,540.0,21,0.056,96976,152.0
1,44,100,boss_mode_trio,4,89.9,20,0.055,97177,161.0
1,45,100,boss_mode_trio,3,304.6,20,0.055,97425,162.0
1,46,100,boss_mode_trio,4,83.9,20,0.055,97616,163.0
1,47,100,boss_mode_trio,4,135.2,19,0.054,97820,164.0
1,48,100,pfsp,2,265.6,19,0.054,98078,165.0
1,49,100,boss_mode_trio,3,166.7,18,0.053,98297,166.0
1,50,100,pure_rule,4,124.5,18,0.053,98494,167.0
1,51,100,pfsp,4,113.6,18,0.052,98682,168.0
1,52,100,boss_mode_trio,4,119.6,17,0.052,98880,168.0
1,53,100,boss_mode_solo,2,116.5,17,0.052,99047,169.0
1,54,100,boss_mode_solo,2,169.0,17,0.051,99239,170.0
1,55,100,pfsp,2,144.0,16,0.051,99431,171.0
1,56,100,boss_mode_trio,4,87.2,16,0.05,99655,172.0
1,57,100,boss_mode_trio,4,142.2,16,0.05,99879,173.0
1,58,100,pfsp,3,187.3,16,0.05,100104,178.0
1,59,100,pfsp,4,98.5,15,0.05,100291,184.0
1,60,100,pure_rule,3,208.8,15,0.05,100531,187.0
1,61,100,pfsp,3,65.3,15,0.05,100686,188.0
2,64,100,pfsp,5,71.3,9,0.05,101705,119.0
2,65,100,pfsp,3,332.2,9,0.05,102029,120.0
2,66,100,boss_mode_solo,2,107.4,9,0.05,102205,127.0
2,67,100,boss_mode_trio,4,247.8,9,0.05,102485,134.0
2,68,100,boss_mode_trio,3,147.2,9,0.05,102709,135.0
2,69,100,boss_mode_trio,4,159.2,9,0.05,102953,136.0
2,70,100,pure_rule,3,325.0,9,0.05,103154,141.0
2,71,100,boss_mode_solo,1,496.8,10,0.05,103523,145.0
2,72,100,pfsp,1,421.7,11,0.05,103641,148.0
2,73,100,pfsp,2,298.6,11,0.05,103929,149.0
2,74,100,pfsp,2,303.2,11,0.05,104213,151.0
2,75,100,boss_mode_trio,4,123.4,11,0.05,104399,159.0
2,76,100,boss_mode_trio,4,117.2,11,0.05,104623,159.0
2,77,100,boss_mode_trio,4,89.4,10,0.05,104819,160.0
2,78,100,boss_mode_trio,3,325.9,10,0.05,105130,164.0
2,79,100,pfsp,2,303.7,10,0.05,105419,173.0
2,80,100,pure_rule,3,122.6,10,0.05,105447,173.0
2,81,100,boss_mode_trio,4,63.3,10,0.05,105632,174.0
2,82,100,pfsp,2,292.2,10,0.05,105956,175.0
2,83,100,boss_mode_trio,4,184.5,10,0.05,106203,176.0
2,84,100,pfsp,4,103.1,10,0.05,106386,177.0
2,85,100,pfsp,1,624.2,11,0.05,106779,179.0
2,86,100,boss_mode_solo,2,135.3,10,0.05,106984,180.0
2,87,100,pfsp,2,499.6,10,0.05,107382,181.0
2,88,100,boss_mode_trio,2,555.0,10,0.05,107783,183.0
2,89,100,boss_mode_trio,4,201.1,10,0.05,108046,184.0
2,90,100,pure_rule,4,140.7,10,0.05,108255,187.0
2,91,100,pfsp,4,168.1,10,0.05,108488,191.0
2,92,100,boss_mode_solo,2,238.2,10,0.05,108722,192.0
2,93,100,boss_mode_trio,3,126.5,10,0.05,108939,193.0
2,94,100,pfsp,2,386.5,10,0.05,109256,195.0
2,95,100,pfsp,2,660.0,9,0.05,109657,196.0
2,96,100,boss_mode_trio,4,24.0,9,0.05,109799,197.0
2,97,100,boss_mode_solo,2,615.0,9,0.05,110200,204.0
2,98,100,pfsp,3,194.7,9,0.05,110449,212.0
2,99,100,boss_mode_solo,2,192.8,9,0.05,110679,216.0
2,100,100,pure_rule,3,87.8,9,0.05,110709,216.0
0,59,100,boss_mode_solo,2,351.2,12,0.05,102052,133.0
0,60,100,pure_rule,2,214.9,12,0.05,102303,139.0
0,61,100,boss_mode_trio,4,104.7,11,0.05,102502,143.0
0,62,100,pfsp,2,219.2,11,0.05,102746,146.0
0,63,100,pfsp,3,129.6,11,0.05,102944,147.0
0,64,100,pfsp,2,209.1,11,0.05,103187,148.0
0,65,100,pfsp,1,307.1,12,0.05,103409,151.0
0,66,100,boss_mode_trio,4,89.9,12,0.05,103610,152.0
0,67,100,boss_mode_trio,3,386.2,12,0.05,103974,153.0
0,68,100,pfsp,2,261.4,12,0.05,104240,155.0
0,69,100,boss_mode_solo,1,309.5,13,0.05,104386,155.0
0,70,100,pure_rule,3,61.0,13,0.05,104398,155.0
0,71,100,pfsp,2,294.3,13,0.05,104693,156.0
0,72,100,pfsp,5,63.5,12,0.05,104880,157.0
0,73,100,boss_mode_trio,4,120.2,12,0.05,105084,158.0
0,74,100,boss_mode_solo,2,305.2,12,0.05,105388,164.0
0,75,100,pfsp,3,204.5,12,0.05,105635,173.0
0,76,100,pfsp,4,75.9,12,0.05,105696,177.0
0,77,100,pfsp,2,399.2,12,0.05,106040,185.0
0,78,100,pfsp,3,172.5,12,0.05,106267,186.0
0,79,100,boss_mode_trio,4,211.4,11,0.05,106533,190.0
0,80,100,pure_rule,4,161.4,11,0.05,106549,191.0
0,81,100,pfsp,3,177.1,11,0.05,106772,197.0
0,82,100,pfsp,2,352.6,11,0.05,107100,202.0
0,83,100,boss_mode_trio,4,51.6,11,0.05,107268,203.0
0,84,100,boss_mode_solo,2,332.0,11,0.05,107590,204.0
0,85,100,pfsp,3,109.1,11,0.05,107783,205.0
0,86,100,pfsp,4,138.8,10,0.05,107973,206.0
0,87,100,boss_mode_solo,2,104.4,10,0.05,108169,206.0
0,88,100,pfsp,3,143.5,10,0.05,108406,207.0
0,89,100,boss_mode_solo,2,320.3,10,0.05,108711,208.0
0,90,100,pure_rule,3,188.3,10,0.05,108896,209.0
0,91,100,boss_mode_solo,2,171.9,10,0.05,109117,210.0
0,92,100,pfsp,2,161.2,10,0.05,109331,211.0
0,93,100,boss_mode_trio,2,242.3,10,0.05,109606,212.0
0,94,100,pfsp,2,226.6,10,0.05,109874,213.0
0,95,100,pfsp,3,109.4,9,0.05,110070,214.0
0,96,100,boss_mode_solo,2,432.2,9,0.05,110444,215.0
0,97,100,boss_mode_solo,2,397.1,9,0.05,110817,217.0
0,98,100,boss_mode_trio,4,67.4,9,0.05,110993,218.0
0,99,100,boss_mode_trio,4,93.9,9,0.05,111184,219.0
0,100,100,pure_rule,2,296.4,9,0.05,111500,220.0
1,62,100,pfsp,4,52.4,15,0.05,100837,189.0
1,63,100,boss_mode_trio,4,99.8,14,0.05,101037,189.0
1,64,100,boss_mode_trio,4,62.5,14,0.05,101214,190.0
1,65,100,pfsp,4,178.3,14,0.05,101449,195.0
1,66,100,pfsp,4,211.2,14,0.05,101713,198.0
1,67,100,boss_mode_trio,4,162.8,13,0.05,101943,199.0
1,68,100,pfsp,2,208.1,13,0.05,102176,200.0
1,69,100,boss_mode_trio,3,190.6,13,0.05,102434,201.0
1,70,100,pure_rule,2,200.8,13,0.05,102593,208.0
1,71,100,pfsp,3,161.4,13,0.05,102809,216.0
1,72,100,pfsp,3,218.9,12,0.05,103100,217.0
1,73,100,pfsp,2,334.2,12,0.05,103344,218.0
1,74,100,boss_mode_trio,3,156.6,12,0.05,103562,219.0
1,75,100,pfsp,3,492.5,12,0.05,103939,221.0
1,76,100,pfsp,5,122.4,12,0.05,104165,222.0
1,77,100,pfsp,5,87.9,12,0.05,104346,222.0
1,78,100,boss_mode_solo,2,104.2,12,0.05,104389,222.0
1,79,100,pfsp,3,172.4,11,0.05,104615,223.0
1,80,100,pure_rule,3,46.7,11,0.05,104634,223.0
1,81,100,pfsp,5,52.1,11,0.05,104657,224.0
1,82,100,pfsp,1,675.0,12,0.05,105058,225.0
1,83,100,boss_mode_solo,2,117.2,12,0.05,105232,225.0
1,84,100,pfsp,4,62.5,12,0.05,105409,226.0
1,85,100,boss_mode_solo,2,293.4,12,0.05,105695,227.0
1,86,100,pfsp,4,125.7,12,0.05,105904,228.0
1,87,100,boss_mode_trio,4,93.1,11,0.05,106087,228.0
1,88,100,pfsp,4,100.6,11,0.05,106295,229.0
1,89,100,boss_mode_solo,2,214.3,11,0.05,106540,230.0
1,90,100,pure_rule,2,112.2,11,0.05,106564,230.0
1,91,100,boss_mode_trio,4,67.1,11,0.05,106737,231.0
1,92,100,pfsp,1,271.7,12,0.05,106955,231.0
1,93,100,pfsp,3,124.8,12,0.05,107155,232.0
1,94,100,pfsp,3,98.8,12,0.05,107345,233.0
1,95,100,boss_mode_trio,4,94.6,12,0.05,107543,234.0
1,96,100,pfsp,3,172.0,11,0.05,107765,234.0
1,97,100,pfsp,3,257.5,11,0.05,108042,235.0
1,98,100,pfsp,3,97.3,11,0.05,108217,236.0
1,99,100,pfsp,3,156.0,11,0.05,108429,237.0
1,100,100,pure_rule,2,144.6,11,0.05,108627,237.0
