worker,ep,total_ep,rank,score,win_rate_pct,eps,step,elapsed_s,scenario
1,91,100,2,127.7,13,0.085,84086,241.0,
1,92,100,4,128.7,13,0.084,84275,242.0,
1,93,100,3,146.4,13,0.084,84491,243.0,
1,94,100,3,274.3,13,0.083,84786,244.0,
1,95,100,5,71.9,13,0.082,84957,244.0,
1,96,100,2,725.0,12,0.082,85358,246.0,
1,97,100,5,38.8,12,0.081,85398,246.0,
1,98,100,2,755.0,12,0.08,85799,247.0,
1,99,100,2,640.0,12,0.08,86200,249.0,
1,100,100,2,132.8,12,0.079,86380,249.0,
